Aug 01 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 07:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Full to Down
Aug 07 07:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Down to Full
Aug 07 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 09:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP1 reset due to configuration change
Aug 07 09:00:00 Router: %BGP-5-ADJCHANGE: neighbor ISP1 established
Aug 07 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 17:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Full to Down
Aug 07 17:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Down to Full
Aug 07 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 07 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 07 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 07 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 07 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 15:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.4.1 state changed from Full to Down
Aug 08 15:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.4.1 state changed from Down to Full
Aug 08 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 08 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 08 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 08 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 08 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 05:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.4.1 state changed from Full to Down
Aug 09 05:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.4.1 state changed from Down to Full
Aug 09 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 06:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.2.1 state changed from Full to Down
Aug 09 06:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.2.1 state changed from Down to Full
Aug 09 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 14:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.2.1 state changed from Full to Down
Aug 09 14:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.2.1 state changed from Down to Full
Aug 09 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 09 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 09 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 09 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 09 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 10 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 10 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 10 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 10 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 10 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 10 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 10 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 10 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 10 01:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.3.1 state changed from Full to Down
Aug 10 01:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.3.1 state changed from Down to Full
Aug 10 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 10 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 10 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 10 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 10 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 10 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 10 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 10 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 10 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 10 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 10 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 10 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 10 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 10 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 10 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 10 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 10 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 10 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
